"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"141";"171301203";"17130120300237";"84.23Z";"31";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES MARSEILLE - SUD-EST";"ETI";"RUE";"PANISSET";"84130";"LE PONTET"
"142";"171301203";"17130120300401";"84.23Z";"12";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES MARSEILLE - SUD-EST";"ETI";"PL";"DE VERDUN";"13150";"TARASCON"
"143";"171301310";"17130131000057";"84.23Z";"NN";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE BOUCHES DU RHONE";"ETI";"AV";"VITON";"13009";"MARSEILLE 9"
"144";"171301310";"17130131000198";"84.23Z";"0";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE BOUCHES DU RHONE";"ETI";"";"LA CANEBIERE";"13001";"MARSEILLE 1"
"145";"171301542";"17130154200121";"84.24Z";"21";"DIRECTION ZONALE DE LA POLICE AUX FRONTIERES SUD";"ETI";"RUE";"DU COMTE DE MELGUEIL";"34000";"MONTPELLIER"
"146";"171304306";"17130430600011";"84.12Z";"41";"ACADEMIE D'AIX MARSEILLE RECTORAT";"ETI";"PL";"LUCIEN PAYE";"13100";"AIX-EN-PROVENCE"
"147";"171304314";"17130431400015";"84.12Z";"41";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";"ETI";"BD";"CHARLES NEDELEC";"13003";"MARSEILLE 3"
"148";"171304314";"17130431400239";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";"ETI";"RUE";"DU PETIT PUITS";"13200";"ARLES"
"149";"171304314";"17130431400494";"84.12Z";"01";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";"ETI";"BD";"CHARLES NEDELEC";"13001";"MARSEILLE 1"
"150";"171304314";"17130431400544";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";"ETI";"RTE";"DES MILLES";"13090";"AIX-EN-PROVENCE"
"151";"171304314";"17130431400593";"84.12Z";"NN";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";"ETI";"RUE";"LEON BLUM";"13200";"ARLES"
"152";"171304603";"17130460300060";"84.12Z";"NN";"DIRECTION REGIONALE AFFAIRES CULTURELLES PROVENCE-ALPES-COTE D'AZUR";"PME";"BD";"DU ROI RENE";"13100";"AIX-EN-PROVENCE"
"153";"171304603";"17130460300078";"84.12Z";"NN";"DIRECTION REGIONALE AFFAIRES CULTURELLES PROVENCE-ALPES-COTE D'AZUR";"PME";"RUE";"GASTON DE SAPORTA";"13100";"AIX-EN-PROVENCE"
"154";"171306400";"17130640000234";"84.13Z";"NN";"DIRECTION DE LA SECURITE DE L AVIATION CIVILE SUD EST";"ETI";"";"AEROPORT MTPELLIER MEDITERRANEE";"34130";"MAUGUIO"
"155";"173001116";"17300111600016";"84.23Z";"22";"COUR D'APPEL DE NIMES";"ETI";"BD";"DE LA LIBERATION";"30000";"NIMES"
"156";"173001116";"17300111600107";"84.23Z";"22";"COUR D'APPEL DE NIMES";"ETI";"BD";"DES ARENES";"30000";"NIMES"
"157";"173001314";"17300131400082";"84.23Z";"12";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE GARD LOZERE";"PME";"RUE";"MAURICE BOURDET";"30100";"ALES"
"158";"173001314";"17300131400165";"84.23Z";"12";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE GARD LOZERE";"PME";"RUE";"DU MAIL";"30900";"NIMES"
"159";"173004318";"17300431800015";"84.12Z";"41";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU GARD";"ETI";"RUE";"ROUGET DE LISLE";"30000";"NIMES"
"160";"173004318";"17300431800031";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU GARD";"ETI";"PL";"DU HUIT MAI 1945";"30000";"NIMES"
"161";"173004318";"17300431800189";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU GARD";"ETI";"RUE";"MATISSE";"30900";"NIMES"
"162";"173004318";"17300431800320";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU GARD";"ETI";"AV";"DE L HERMIONE";"30240";"LE GRAU-DU-ROI"
"163";"173004318";"17300431800346";"84.12Z";"02";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU GARD";"ETI";"BD";"GAMBETTA";"30000";"NIMES"
"164";"173101205";"17310120500016";"84.23Z";"31";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD";"ETI";"BD";"ARMAND DUPORTAL";"31000";"TOULOUSE"
"165";"173101205";"17310120500214";"84.23Z";"32";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD";"ETI";"CHE";"DE MAILLOLES";"66000";"PERPIGNAN"
"166";"173101205";"17310120500578";"84.23Z";"NN";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD";"ETI";"AV";"DE TOULOUSE";"34070";"MONTPELLIER"
"167";"173101205";"17310120500636";"84.23Z";"0";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD";"ETI";"RTE";"DE ST PONS RN 112";"34500";"BEZIERS"
"168";"173101205";"17310120500693";"84.23Z";"21";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD";"ETI";"AV";"DE TOULOUSE";"34070";"MONTPELLIER"
"169";"173101205";"17310120500719";"84.23Z";"0";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD";"ETI";"AV";"DE LESPINET";"31400";"TOULOUSE"
"170";"173104316";"17310431600729";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE LA HAUTE-GARONNE";"ETI";"RUE";"ST ROCH";"31400";"TOULOUSE"
"171";"173304312";"17330431200411";"84.12Z";"41";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE LA GIRONDE";"ETI";"CRS";"DE LUZE";"33300";"BORDEAUX"
"172";"173304601";"17330460100169";"84.12Z";"0";"DIRECTION REGIONALE AFFAIRES CULTURELLES NOUVELLE-AQUITAINE";"ETI";"RUE";"GRAND RUE";"86000";"POITIERS"
"173";"173400011";"17340001100016";"84.11Z";"41";"PREFECTURE DE L HERAULT";"ETI";"PL";"MARTYRS DE LA RESISTANCE";"34000";"MONTPELLIER"
"174";"173401316";"17340131600125";"84.23Z";"12";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE HERAULT";"PME";"RUE";"LEON BLUM";"34000";"MONTPELLIER"
"175";"173401316";"17340131600208";"84.23Z";"01";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE HERAULT";"PME";"AV";"DE LODEVE";"34070";"MONTPELLIER"
"176";"173401316";"17340131600240";"84.23Z";"12";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE HERAULT";"PME";"RUE";"DE CELLENEUVE A ST HILAIRE";"34070";"MONTPELLIER"
"177";"173401514";"17340151400034";"84.24Z";"41";"DIRECTION DEPARTEMENTALE DE LA SECURITE PUBLIQUE - HERAULT";"ETI";"RUE";"DU COMTE DE MELGUEIL";"34000";"MONTPELLIER"
"178";"173401522";"17340152200037";"84.24Z";"22";"SERVICE REGIONAL DE LA POLICE JUDICIAIRE";"PME";"RUE";"DU COMTE DE MELGUEIL";"34000";"MONTPELLIER"
"179";"173402116";"17340211600557";"84.11Z";"NN";"TRESORERIE GENERALE DE L'HERAULT";"";"PL";"GARIBALDI";"34500";"BEZIERS"
"180";"173404302";"17340430200015";"84.12Z";"41";"ACADEMIE DE MONTPELLIER";"ETI";"RUE";"DE L UNIVERSITE";"34000";"MONTPELLIER"
"181";"173404302";"17340430200189";"84.12Z";"0";"ACADEMIE DE MONTPELLIER";"ETI";"RUE";"DE L UNIVERSITE";"34000";"MONTPELLIER"
"182";"173404310";"17340431000018";"84.12Z";"41";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"DE L UNIVERSITE";"34000";"MONTPELLIER"
"183";"173404310";"17340431000026";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"DE L UNIVERSITE";"34000";"MONTPELLIER"
"184";"173404310";"17340431000034";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"BD";"MARECHAL LECLERC";"34500";"BEZIERS"
"185";"173404310";"17340431000042";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"DU PALAIS";"34200";"SETE"
"186";"173404310";"17340431000059";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"PL";"BOBBY LAPOINTE";"34120";"PEZENAS"
"187";"173404310";"17340431000067";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"CRS";"GABRIEL PERI";"34400";"LUNEL"
"188";"173404310";"17340431000075";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"D ARGENCOURT";"34000";"MONTPELLIER"
"189";"173404310";"17340431000091";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"DES CHEVALIERS DE MALTE";"34970";"LATTES"
"190";"173404310";"17340431000125";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"DE L HORT DE MONSEIGNEUR";"34500";"BEZIERS"
"191";"173404310";"17340431000158";"84.12Z";"02";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"DE L HORT DE MONSEIGNEUR";"34500";"BEZIERS"
"192";"173404310";"17340431000166";"84.12Z";"0";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"PL";"MARCEL GODECHOT";"34090";"MONTPELLIER"
"193";"173404310";"17340431000174";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"CHARLES BONAPARTE";"34080";"MONTPELLIER"
"194";"173404310";"17340431000224";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"QUAI";"LOUIS LE VAU";"34080";"MONTPELLIER"
"195";"173404310";"17340431000265";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"PL";"BOBBY LAPOINTE";"34120";"PEZENAS"
"196";"173404310";"17340431000380";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"QUAI";"LOUIS LE VAU";"34080";"MONTPELLIER"
"197";"173404310";"17340431000406";"84.12Z";"0";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'HERAULT";"ETI";"RUE";"PIERRE JEAN BEDARD";"34500";"BEZIERS"
"198";"173404609";"17340460900070";"84.12Z";"22";"DIRECTION REGIONALE AFFAIRES CULTURELLES OCCITANIE";"PME";"RUE";"DE LA SALLE L EVEQUE";"34000";"MONTPELLIER"
"199";"173404609";"17340460900260";"84.12Z";"0";"DIRECTION REGIONALE AFFAIRES CULTURELLES OCCITANIE";"PME";"RUE";"DE LA DALBADE";"31000";"TOULOUSE"
"200";"173504606";"17350460600026";"84.12Z";"NN";"DIRECTION REGIONALE AFFAIRES CULTURELLES BRETAGNE";"PME";"RUE";"DU CHAPITRE";"35000";"RENNES"
"201";"173800012";"17380001200010";"84.11Z";"32";"PREFECTURE DU DEPARTEMENT DE L ISERE";"ETI";"PL";"VERDUN";"38000";"GRENOBLE"
"202";"174504605";"17450460500026";"84.12Z";"21";"DIRECTION REGIONALE AFFAIRES CULTURELLES CENTRE-VAL DE LOIRE";"PME";"RUE";"DE LA MANUFACTURE";"45000";"ORLEANS"
"203";"174800011";"17480001100036";"84.11Z";"NN";"PREFECTURE DE LA LOZERE";"PME";"RUE";"DU FAUBOURG MONTBEL";"48000";"MENDE"
"204";"175901313";"17590131300460";"84.23Z";"0";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE NORD";"ETI";"RUE";"DU RONDELOIR";"59491";"VILLENEUVE D'ASCQ"
"205";"175901511";"17590151100980";"84.24Z";"NN";"DIRECTION DEPARTEMENTALE DE LA SECURITE PUBLIQUE - NORD";"ETI";"BD";"DE BELFORT";"59100";"ROUBAIX"
"206";"176404317";"17640431700271";"84.12Z";"32";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DES PYRENEES ATLANTIQUES";"ETI";"PL";"D ESPAGNE";"64000";"PAU"
"207";"176601318";"17660131800031";"84.23Z";"12";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE PYRENEES ORIENTALES AUDE";"PME";"";"ESPACE MEDITERRANEE";"66000";"PERPIGNAN"
"208";"176601318";"17660131800122";"84.23Z";"11";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE PYRENEES ORIENTALES AUDE";"PME";"AV";"DU GENERAL LECLERC";"11100";"NARBONNE"
"209";"176604312";"17660431200064";"84.12Z";"32";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DES PYRENEES ORIENTALES";"ETI";"AV";"JEAN GIRAUDOUX";"66100";"PERPIGNAN"
"210";"176604312";"17660431200098";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DES PYRENEES ORIENTALES";"ETI";"RUE";"PASTEUR";"66500";"PRADES"
"211";"176604312";"17660431200171";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DES PYRENEES ORIENTALES";"ETI";"AV";"MICHEL SAGELOLI";"66400";"CERET"
"212";"176701316";"17670131600125";"84.23Z";"11";"DIRECTION TERRITORIALE DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE D'ALSACE";"PME";"BD";"DU PRESIDENT POINCARE";"67000";"STRASBOURG"
"213";"176704310";"17670431000513";"84.12Z";"03";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU BAS RHIN";"ETI";"";"MARCHE AUX POISSONS";"67500";"HAGUENAU"
"214";"176704609";"17670460900013";"84.12Z";"22";"DIRECTION REGIONALE AFFAIRES CULTURELLES GRAND EST";"ETI";"PL";"DE LA REPUBLIQUE";"67000";"STRASBOURG"
"215";"176901205";"17690120500524";"84.23Z";"21";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES LYON - CENTRE-EST";"ETI";"RUE";"DU RAMBION";"69330";"MEYZIEU"
"216";"177501517";"17750151700011";"84.24Z";"53";"PREFECTURE DE POLICE DE PARIS";"GE";"BD";"DU PALAIS";"75004";"PARIS 4"
"217";"177504305";"17750430500133";"84.12Z";"NN";"ACADEMIE DE PARIS";"ETI";"AV";"GAMBETTA";"75020";"PARIS 20"
"218";"177504305";"17750430500158";"84.12Z";"32";"ACADEMIE DE PARIS";"ETI";"BD";"D INDOCHINE";"75019";"PARIS 19"
"219";"177801511";"17780151100037";"84.24Z";"21";"DIRECTION DEPARTEMENTALE DE LA SECURITE PUBLIQUE - YVELINES";"ETI";"RUE";"DES QUARANTE ARPENTS";"78220";"VIROFLAY"
"220";"178104311";"17810431100299";"84.12Z";"31";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DU TARN";"PME";"AV";"MARECHAL FOCH";"81000";"ALBI"
"221";"178301313";"17830131300296";"84.23Z";"12";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE VAR";"PME";"RUE";"AMBROISE PARE";"83160";"LA VALETTE-DU-VAR"
"222";"178304317";"17830431700054";"84.12Z";"12";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DU VAR";"ETI";"RUE";"DES MINIMES";"83300";"DRAGUIGNAN"
"223";"178401311";"17840131100026";"84.23Z";"NN";"DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE ALPES VAUCLUSE";"PME";"RUE";"VICTOR HUGO";"84000";"AVIGNON"
"224";"178404315";"17840431500016";"84.12Z";"32";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU VAUCLUSE";"ETI";"RUE";"THIERS";"84000";"AVIGNON"
"225";"178404315";"17840431500453";"84.12Z";"02";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU VAUCLUSE";"ETI";"RUE";"EVAR BERNARDI DE VALERNE";"84200";"CARPENTRAS"
"226";"178904314";"17890431400113";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DE L YONNE";"ETI";"BD";"GALLIENI";"89000";"AUXERRE"
"227";"179100029";"17910002900224";"84.23Z";"00";"MISSION DES SERVICES PENITENTIAIRES DE L'OUTRE-MER";"ETI";"RUE";"GAMBETTA";"97110";"POINTE-À-PITRE"
"228";"179100029";"17910002900281";"84.23Z";"32";"MISSION DES SERVICES PENITENTIAIRES DE L'OUTRE-MER";"ETI";"CHE";"SAINT-LEONARD";"97490";"SAINT-DENIS"
"229";"179404306";"17940430600088";"84.12Z";"42";"ACADEMIE DE CRETEIL";"ETI";"RUE";"GEORGES ENESCO";"94000";"CRETEIL"
"230";"179710017";"17971001700015";"84.11Z";"31";"PREFECTURE DU DEP DE LA GUADELOUPE";"ETI";"RUE";"DE LARDENOY";"97100";"BASSE-TERRE"
"231";"179714605";"17971460500021";"84.12Z";"12";"DIRECTION DES AFFAIRES CULTURELLES GUADELOUPE";"PME";"RUE";"PERRINON";"97100";"BASSE-TERRE"
"232";"179720016";"17972001600015";"84.11Z";"32";"PREFECTURE DE LA MARTINIQUE";"ETI";"RUE";"VICTOR SEVERE";"97200";"FORT-DE-FRANCE"
"233";"179740014";"17974001400016";"84.11Z";"32";"PREFECTURE DE LA REUNION";"ETI";"AV";"DE LA VICTOIRE";"97400";"SAINT-DENIS"
"234";"179744313";"17974431300018";"84.12Z";"02";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DE LA REUNION";"ETI";"AV";"GEORGES BRASSENS";"97490";"SAINT-DENIS"
"235";"179744313";"17974431300042";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DE LA REUNION";"ETI";"PL";"DE LA MAIRIE";"97430";"LE TAMPON"
"236";"179850839";"17985083900012";"84.12Z";"0";"VICE RECTORAT DE MAYOTTE";"";"RUE";"SARAHANGUE";"97600";"MAMOUDZOU"
"237";"179920103";"17992010300019";"84.21Z";"NN";"AMBASSADE DE FRANCE EN ARABIE SAOUDITE";"";"";"RIYAD 11693";"";""
"238";"179923107";"17992310700017";"84.21Z";"NN";"AMBASSADE DE FRANCE EN INDONESIE";"";"";"JAKARTA-PUSAT";"";""
"239";"179941505";"17994150500010";"84.21Z";"NN";"AMBASSADE DE FRANCE EN ARGENTINE";"";"";"BUENOS AIRES 1010";"";""
"240";"180000010";"18000001000017";"84.11Z";"21";"GRANDE CHANCELLERIE DE LA LEGION D'HONNEUR";"ETI";"RUE";"DE SOLFERINO";"75007";"PARIS 7"
"241";"180005019";"18000501900047";"84.13Z";"21";"CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LACUSTRES";"PME";"RUE";"AUDEBERT";"17300";"ROCHEFORT"
"242";"180006025";"18000602500134";"72.19Z";"32";"INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT";"PME";"AV";"AGROPOLIS";"34000";"MONTPELLIER"
"243";"180006025";"18000602500159";"72.19Z";"41";"INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT";"PME";"BD";"DUNKERQUE";"13002";"MARSEILLE 2"
"244";"180006082";"18000608200069";"84.21Z";"0";"AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER";"PME";"PL";"JEAN COURTIN";"";""
"245";"180006082";"18000608200234";"84.21Z";"0";"AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER";"PME";"";"P.O. BOX 2314";"";""
"246";"180012015";"18001201500012";"86.10Z";"22";"ETS PUBLIC DE SANTE NATIONAL DE FRESNES";"PME";"ALL";"DES THUYAS";"94260";"FRESNES"
"247";"180014045";"18001404500199";"85.59A";"22";"CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE";"ETI";"AV";"DES APOTHICAIRES";"34090";"MONTPELLIER"
"248";"180014045";"18001404501478";"85.59A";"21";"CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE";"ETI";"PL";"DE LA REVOLUTION FRANCAISE";"34000";"MONTPELLIER"
"249";"180014045";"18001404502245";"85.59A";"41";"CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE";"ETI";"RUE";"DE REUILLY";"75012";"PARIS 12"
"250";"180034027";"18003402700011";"84.12Z";"32";"OFFICE FRANCAIS DE L'IMMIGRATION ET DE L'INTEGRATION";"ETI";"RUE";"BARGUE";"75015";"PARIS 15"
"251";"180036048";"18003604800015";"72.19Z";"41";"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE";"GE";"RUE";"DE TOLBIAC";"75013";"PARIS 13"
"252";"180036048";"18003604801609";"72.19Z";"02";"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE";"GE";"RUE";"DE NAVACELLES";"34090";"MONTPELLIER"
"253";"180036048";"18003604802235";"72.19Z";"0";"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE";"GE";"AV";"AUGUSTIN FLICHE";"34090";"MONTPELLIER"
"254";"180036048";"18003604802268";"72.19Z";"22";"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE";"GE";"BD";"PINEL";"69500";"BRON"
"255";"180043010";"18004301001485";"85.60Z";"32";"RESEAU CANOPE";"ETI";"AV";"DU FUTUROSCOPE";"86360";"CHASSENEUIL-DU-POITOU"
"256";"180043010";"18004301001568";"85.60Z";"21";"RESEAU CANOPE";"ETI";"RUE";"ROQUELAINE";"31000";"TOULOUSE"
"257";"180043010";"18004301001584";"85.60Z";"22";"RESEAU CANOPE";"ETI";"RUE";"SAINTE CATHERINE";"86000";"POITIERS"
"258";"180043028";"18004302800596";"63.11Z";"11";"OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS";"ETI";"RUE";"DE L UNIVERSITE";"34000";"MONTPELLIER"
"259";"180043028";"18004302800653";"63.11Z";"22";"OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS";"ETI";"";"MAIL BARTHELEMY THIMONNIER";"77185";"LOGNES"
"260";"180043093";"18004309300038";"91.01Z";"32";"BIBLIOTHEQUE PUBLIQUE D'INFORMATION";"ETI";"RUE";"DU RENARD";"75004";"PARIS 4"
"261";"180044042";"18004404200018";"84.12Z";"32";"INSTITUT DE FRANCE";"PME";"QUAI";"DE CONTI";"75006";"PARIS 6"
"262";"180044117";"18004411700018";"85.42Z";"21";"ECOLE FRANCAISE D'EXTREME ORIENT";"PME";"AV";"PRESIDENT WILSON";"75116";"PARIS 16"
"263";"180044125";"18004412500011";"85.42Z";"0";"CASA DE VELAZQUEZ DE MADRID";"PME";"";"C/DE PAUL GUINARD";"";""
"264";"180044174";"18004417400019";"91.03Z";"42";"MUSEUM NATIONAL D HISTOIRE NATURELLE";"ETI";"RUE";"CUVIER";"75005";"PARIS 5"
"265";"180044224";"18004422400020";"63.11Z";"21";"AGENCE BIBLIOGRAPHIQUE DE L'ENSEIGNEMENT SUPERIEUR";"PME";"AV";"PR JEAN LOUIS VIALA";"34090";"MONTPELLIER"
"266";"180046013";"18004601300017";"91.03Z";"32";"CENTRE DES MONUMENTS NATIONAUX";"ETI";"RUE";"SAINT ANTOINE";"75004";"PARIS 4"
"267";"180046013";"18004601300298";"91.03Z";"12";"CENTRE DES MONUMENTS NATIONAUX";"ETI";"";"";"66600";"SALSES-LE-CHATEAU"
"268";"180046013";"18004601300314";"91.03Z";"12";"CENTRE DES MONUMENTS NATIONAUX";"ETI";"";"PROMENADE DU BOUT DU MONDE";"49100";"ANGERS"
"269";"180046013";"18004601300355";"91.03Z";"12";"CENTRE DES MONUMENTS NATIONAUX";"ETI";"RTE";"DE FONTVIEILLE";"13104";"ARLES"
"270";"180046013";"18004601300405";"91.03Z";"21";"CENTRE DES MONUMENTS NATIONAUX";"ETI";"AV";"DE CARCASSONNE A MONTREDON";"11000";"CARCASSONNE"
"271";"180046013";"18004601300439";"91.03Z";"11";"CENTRE DES MONUMENTS NATIONAUX";"ETI";"";"";"34440";"NISSAN-LEZ-ENSERUNE"
"272";"180046021";"18004602100028";"91.03Z";"42";"CENTRE NATIONAL D'ART ET DE CULTURE GEORGES POMPIDOU";"ETI";"RUE";"SAINT MARTIN";"75004";"PARIS 4"
"273";"180046039";"18004603900137";"84.12Z";"21";"CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE";"ETI";"RUE";"BOISSIERE";"75116";"PARIS 16"
"274";"180046054";"18004605400193";"84.12Z";"12";"CENTRE NATIONAL DES ARTS PLASTIQUES";"PME";"PL";"DE LA PYRAMIDE";"92800";"PUTEAUX"
"275";"180046237";"18004623700012";"91.03Z";"51";"ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE";"PME";"QUAI";"FRANCOIS MITTERRAND";"75001";"PARIS 1"
"276";"180046252";"18004625200177";"91.01Z";"51";"BIBLIOTHEQUE NATIONALE DE FRANCE";"ETI";"QUAI";"FRANCOIS MAURIAC";"75013";"PARIS 13"
"277";"180046260";"18004626000014";"91.03Z";"42";"ETABLISSEMENT PUBLIC DU CHATEAU DU MUSEE ET DU DOMAINE NATIONAL DE VERSAILLES";"ETI";"";"VC CHAT DE VERSAILLES";"78000";"VERSAILLES"
"278";"180070013";"18007001300081";"72.19Z";"22";"INSTITUT NATIONAL DE RECHERCHE EN SCIENCES ET TECHNOLOGIES POUR L'ENVIRONNEMENT ET L'AGRICULTURE";"ETI";"RTE";"CEZANNE";"13100";"LE THOLONET"
