"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1024";"438116378";"43811637800037";"42.21Z";"22";"CEGELEC SPACE";"GE";"PL";"ISAAC NEWTON";"97310";"KOUROU"
"1025";"438216228";"43821622800033";"46.69B";"02";"INTERNATIONAL SERVICES INDUSTRIE";"PME";"RUE";"DE LABORDE";"75008";"PARIS 8"
"1026";"438245953";"43824595300049";"93.12Z";"01";"GYM RELAX";"PME";"RUE";"BALARD";"34000";"MONTPELLIER"
"1027";"438289662";"43828966200035";"71.12B";"21";"HYDROSTADIUM";"GE";"AV";"DES VIEUX MOULINS";"74000";"ANNECY"
"1028";"438292310";"43829231000028";"85.59A";"NN";"SARL IMLS";"PME";"RUE";"DE MAGUELONE";"34000";"MONTPELLIER"
"1029";"438292310";"43829231000036";"85.59A";"00";"SARL IMLS";"PME";"RUE";"DU CARRE DU ROI";"34000";"MONTPELLIER"
"1030";"438318180";"43831818000041";"46.16Z";"22";"PVH FRANCE";"ETI";"RUE";"DU FAUBOURG SAINT HONORE";"75008";"PARIS 8"
"1031";"438318719";"43831871900012";"70.22Z";"NN";"D.E.F.I.S.-P.M.E LR";"PME";"RUE";"GEORGES DENIZOT";"34090";"MONTPELLIER"
"1032";"438320632";"43832063200039";"65.12Z";"NN";"MUTUALITE FRANCAISE OCCITANIE";"PME";"RUE";"POMIER LAYRARGUES";"34070";"MONTPELLIER"
"1033";"438420887";"43842088700087";"86.10Z";"22";"FONDATION VINCENT DE PAUL";"ETI";"RUE";"DE LA TOUSSAINT";"67000";"STRASBOURG"
"1034";"438422206";"43842220600021";"46.38B";"02";"ANDINES";"PME";"RUE";"DE LA POTERIE";"93200";"SAINT-DENIS"
"1035";"438557282";"43855728200052";"59.11A";"21";"CARSON PROD";"GE";"RUE";"DU DOME";"92100";"BOULOGNE-BILLANCOURT"
"1036";"438566101";"43856610100012";"85.51Z";"00";"SOCIETE PIERRE ROUGE";"PME";"AV";"SAINT LAZARE";"34000";"MONTPELLIER"
"1037";"438568222";"43856822200063";"61.90Z";"22";"ARKADIN";"ETI";"ALL";"HENRI II DE MONTMORENCY";"34000";"MONTPELLIER"
"1038";"438616476";"43861647600034";"46.45Z";"11";"PANIER DES SENS";"PME";"BD";"JULES SEBASTIANELLI";"13011";"MARSEILLE 11"
"1039";"438647349";"43864734900028";"73.11Z";"01";"CREATIONS GRAPHIQUES DU SUD OUEST";"PME";"PL";"DU FOIRAIL";"46210";"LATRONQUIERE"
"1040";"438745770";"43874577000034";"86.90E";"0";"";"PME";"AV";"GAL SARRAIL";"34400";"LUNEL"
"1041";"438890261";"43889026100045";"90.03B";"01";"PING PONG";"PME";"RUE";"DU TEMPLE";"75003";"PARIS 3"
"1042";"438897001";"43889700100014";"46.34Z";"12";"SAS SAVATIER SELECTION";"PME";"";"LE ROUET";"83490";"LE MUY"
"1043";"438905598";"43890559800035";"79.12Z";"03";"CHEMIN DU SUD";"PME";"RUE";"FRANCOIS GERNELLE";"84120";"PERTUIS"
"1044";"438930463";"43893046300031";"46.38B";"01";"ALSACE BIO";"PME";"RUE";"DU GENERAL GOURAUD";"67210";"OBERNAI"
"1045";"438959231";"43895923100020";"94.99Z";"02";"FAPIL AUVERGNE-RHONE-ALPES";"PME";"RUE";"MATHIEU VARILLE";"69007";"LYON 7EME"
"1046";"439072281";"43907228100033";"85.59A";"12";"COMPTALIA";"PME";"RUE";"ROBERT MALTHUS";"34470";"PEROLS"
"1047";"439194481";"43919448100016";"93.12Z";"01";"OFFICE MUNICIPAL DES SPORTS D'ALES";"PME";"RUE";"CHARLES GUIZOT";"30100";"ALES"
"1048";"439274283";"43927428300027";"81.21Z";"0";"";"PME";"";"MORNE AUX CABRIS";"97150";"SAINT MARTIN"
"1049";"439314972";"43931497200076";"85.59A";"11";"CONCEPT PARTENAIRE ENTREPRISES";"PME";"RUE";"ISAAC NEWTON";"18000";"BOURGES"
"1050";"439341694";"43934169400016";"87.10A";"12";"EPIDAURE";"GE";"QUA";"ROCHECHAUSSON";"26790";"LA BAUME-DE-TRANSIT"
"1051";"439356742";"43935674200023";"90.03A";"0";"";"PME";"RUE";"DE LA REUNION";"75020";"PARIS 20"
"1052";"439510512";"43951051200031";"72.11Z";"12";"DOMAIN THERAPEUTICS";"PME";"BD";"SEBASTIEN BRANT";"67400";"ILLKIRCH-GRAFFENSTADEN"
