"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"56";56;56;56;56;37762969600040;"CINEMED";21;70,1428571428571;"";"";NA;"";""
"57";57;57;57;57;43996214300012;"ACCUEIL DE JOUR THERAPEUTIQUE ALZHEIMER CIEL BLEU";21;313,428571428571;"";"";NA;"";""
"58";58;58;58;58;46680005900019;"CLINIQUE DU PARC";21;311,571428571428;"";"";NA;"";""
"59";59;59;59;59;48054141600024;"UNIVERSITY STUDENT SERVICES";21;384,857142857143;"";"";NA;"";""
"60";60;60;60;60;18000602500134;"INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT";20;379,714285714286;"";"";NA;"";""
"61";61;61;61;61;19340039700017;"LYCEE GEORGES CLEMENCEAU";20;66,1428571428572;"";"";NA;"";""
"62";62;62;62;62;20002538500010;"LYCEE GENERAL INTERNAT D EXCELLENCE";20;102,857142857143;"";"";NA;"";""
"63";63;63;63;63;21340172200052;"ECOLE MATERNELLE TERESA";20;110,285714285714;"";"";NA;"";""
"64";64;64;64;64;21340172200557;"ECOLE ELEMENTAIRE ANDRE BOULLOCHE";20;39,2857142857143;"";"";NA;"";""
"65";65;65;65;65;26300013500016;"CENTRE HOSPITALIER LE MAS CAREIRON";20;387,428571428571;"";"";NA;"";""
"66";66;66;66;66;42121708400050;"LE PASSE MURAILLE";20;209;"";"";NA;"";""
"67";67;67;67;67;42363685100028;"ACCENT FRANCAIS";20;218,285714285714;"";"";NA;"";""
"68";68;68;68;68;49137900400048;"DSD DEVELOPPEMENT SOLIDAIRE ET DURABLE";20;245,428571428571;"";"";NA;"";""
"69";69;69;69;69;51476140200015;"LE BOOKSHOP";20;266,857142857143;"";"";NA;"";""
"70";70;70;70;70;18008901300395;"CENTRE NATIONAL DE RECHERCHE SCIENTIFIQUE";19;226,428571428572;"http://www.cnrs.fr";"https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique";"";"recherche cnrs scientifique sciences modifier ↑ chercheurs consulté national physique";"recherche scientifique cnrs plus sous public rang administrative epst figure"
"71";71;71;71;71;19341277200017;"COLLEGE LES AIGUERELLES";19;188,285714285714;"";"";NA;"";""
"72";72;72;72;72;20005379100048;"REGION OCCITANIE - SITE DE MONTPELLIER";19;226,142857142857;"";"";NA;"";""
"73";73;73;73;73;21340057500097;"ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN";19;89,2857142857143;"";"";NA;"";""
"74";74;74;74;74;21340172200789;"ECOLE ELEMENTAIRE SIMON BOLIVAR";19;96,857142857143;"";"";NA;"";""
"75";75;75;75;75;42150305300017;"GIBERT JOSEPH";19;65,4285714285714;"https://www.gibert.com/?SID=86tejiep2dn3beasaokdo04rb4";"https://fr.wikipedia.org/wiki/Gibert_Joseph";"";"gibert joseph modifier jeune livres vente josephgibert librairie magasin paris";""
"76";76;76;76;76;45056326700027;"CLINIQUE SAINT CLEMENT";19;235,285714285714;"https://www.clinique-st-clement.fr";"";"";"";""
"77";77;77;77;77;50245584300016;"CHU SAINT ELOI";19;515;"";"";NA;"";""
"78";78;78;78;78;53832967300015;"CIMADE DE MONTPELLIER";19;392,285714285714;"";"";NA;"";""
"79";79;79;79;79;77605699600015;"LYCEE N.D. DE LA MERCI";19;131,857142857143;"";"";NA;"";""
"80";80;80;80;80;81317979300589;"EHPAD LES COULEURS DU TEMPS";19;238,714285714286;"";"";NA;"";""
"81";81;81;81;81;19340038900014;"LYCEE JOFFRE";18;103,142857142857;"";"";NA;"";""
"82";82;82;82;82;19340042100015;"LYCEE JEAN MERMOZ";18;114,714285714286;"";"";NA;"";""
"83";83;83;83;83;35218205900035;"OFFICE DU TOURISME DE MONTPELLIER";18;155;"";"";NA;"";""
"84";84;84;84;84;77609432800023;"ECOLE SAINT JOSEPH";18;27,5714285714286;"";"";NA;"";""
"85";85;85;85;85;17340460900070;"DRAC OCCITANIE";17;120,857142857143;"";"";NA;"";""
"86";86;86;86;86;21300007800385;"DSDEN DU GARD";17;40,4285714285714;"";"";NA;"";""
"87";87;87;87;87;21340032800018;"MAIRIE DE BEZIERS - ANNEXE DE LA DEVEZE";17;169,714285714286;"";"";NA;"";""
"88";88;88;88;88;21340090600045;"ECOLE ELEMENTAIRE FREDERIC MISTRAL";17;63,2857142857142;"";"";NA;"";""
"89";89;89;89;89;21340172200516;"ECOLE ELEMENTAIRE SIGMUND FREUD";17;62,2857142857143;"";"";NA;"";""
"90";90;90;90;90;77605694700018;"EDUCATION POPULAIRE ST JEAN BAPTISTE";17;65,1428571428572;"";"";NA;"";""
"91";91;91;91;91;19340048800014;"COLLEGE CLEMENCE ROYER";16;130;"";"";NA;"";""
"92";92;92;92;92;19340111400015;"COLLEGE GEORGES CLEMENCEAU";16;79,1428571428571;"";"";NA;"";""
"93";93;93;93;93;19341603900017;"LYCEE POLYVALENT JEAN JAURES";16;78,4285714285714;"";"";NA;"";""
"94";94;94;94;94;21340172201514;"ECOLE MATERNELLE ARISTOTE";16;45;"";"";NA;"";""
"95";95;95;95;95;24340076900093;"COMMUNAUTE D'AGGLOMERATION BEZIERS MEDITERRANEE";16;224,142857142857;"";"";NA;"";""
"96";96;96;96;96;26660002200013;"CENTRE HOSPITALIER DE PERPIGNAN";16;268,714285714286;"";"";NA;"";""
"97";97;97;97;97;49143517800018;"FILMS DES DEUX RIVES";16;271,857142857143;"";"";NA;"";""
"98";98;98;98;98;18007003901027;"INSTITUT NATIONAL DE RECHERCHE AGRONOMIQUE - CENTRE MONTPELLIER";15;303,142857142857;"";"";NA;"";""
"99";99;99;99;99;21340172201449;"ECOLE LUDWIG VAN BEETHOVEN";15;62,2857142857143;"";"";NA;"";""
"100";100;100;100;100;22660001300016;"DEPARTEMENT DES PYRENEES ORIENTALES";15;97,4285714285714;"";"";NA;"";""
"101";101;101;101;101;42336783800012;"ASSOCIATION AVEC";15;188;"";"";NA;"";""
"102";102;102;102;102;45348586400012;"PAGES ET IMAGES PRODUCTION";15;155;"";"";NA;"";""
"103";103;103;103;103;50803754600027;"MOSAIQUES ARCHEOLOGIE";15;113;"";"";NA;"";""
"104";104;104;104;104;77605712700016;"ECOLE SAINTE MARIE LES JONQUILLES";15;94;"";"";NA;"";""
"105";105;105;105;105;18008901309065;"CNRS (DELEGATION REGIONAL LR)";14;95,7142857142859;"";"";NA;"";""
"106";106;106;106;106;19340045400016;"LYCEE PROFESSIONNEL JULES FERRY";14;104,428571428571;"";"";NA;"";""
"107";107;107;107;107;20003221700016;"LYCEE POLYVALENT GEORGES FRECHE";14;54,4285714285715;"";"";NA;"";""
"108";108;108;108;108;21340022900091;"ECOLE  MATERNELLE PUBLIC ANTOINE GEOFFRE";14;34,4285714285714;"";"";NA;"";""
"109";109;109;109;109;21340172201217;"ECOLE ELEMENTAIRE PUBLIQUE MARIE DE SEVIGNE";14;102;"";"";NA;"";""
"110";110;110;110;110;21340172201571;"ECOLE PRIMAIRE PUBLIQUE LEO MALET";14;36;"";"";NA;"";""
"111";111;111;111;111;26300003600222;"CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE NIMES";14;261,428571428571;"";"";NA;"";""
"112";112;112;112;112;33159627000040;"CIRAD";14;283,285714285714;"https://www.cirad.fr";"https://fr.wikipedia.org/wiki/Centre_de_coopération_internationale_en_recherche_agronomique_pour_le_développement";"";"recherche cirad modifier agronomique centre linstitut septembre consulté département développement";"recherche centre agronomique campus cirad appliquée baillarguet caractère chaudes commercial"
"113";113;113;113;113;40784350700044;"MEDICIS TRADUCTION";14;115;"";"";NA;"";""
"114";114;114;114;114;48447503300037;"SDG-LANG";14;106,285714285714;"";"";NA;"";""
"115";115;115;115;115;80349731200014;"LES FILMS D ICI MEDITERRANEE";14;304;"";"";NA;"";""
"116";116;116;116;116;81292975000014;"ECOLE INTERNATIONALE ANTONIA";14;46,5714285714286;"";"";NA;"";""
"117";117;117;117;117;19340972900020;"COLLEGE VICTOR HUGO";13;113,571428571429;"";"";NA;"";""
"118";118;118;118;118;21340057500022;"ECOLE MATERNELLE LA FONTAINE";13;74,7142857142857;"";"";NA;"";""
"119";119;119;119;119;21340172200813;"ECOLE ELEMENTAIRE LEOPOLD SEDAR SENGHOR";13;72,1428571428572;"";"";NA;"";""
"120";120;120;120;120;21340172201456;"MATERNELLE JEAN JACQUES ROUSSEAU";13;36;"";"";NA;"";""
"121";121;121;121;121;26340089700017;"MECS MARIE CAIZERGUES";13;216,142857142857;"";"";NA;"";""
"122";122;122;122;122;33159627000016;"CIRAD";13;229,571428571429;"https://www.cirad.fr";"https://fr.wikipedia.org/wiki/Centre_de_coopération_internationale_en_recherche_agronomique_pour_le_développement";"";"recherche cirad modifier agronomique centre linstitut septembre consulté département développement";"recherche centre agronomique campus cirad appliquée baillarguet caractère chaudes commercial"
"123";123;123;123;123;34009800300023;"SARL LES AMANDIERS";13;126,857142857143;"";"";NA;"";""
"124";124;124;124;124;34758223100226;"URBANIS";13;271,571428571429;"";"";NA;"";""
"125";125;125;125;125;40196658500010;"CENTRE LA ROSERAIE SAINTE ODILE";13;165,428571428571;"";"";NA;"";""
"126";126;126;126;126;42073787600037;"FOYER DE VIE ""ARCHE L'HORIZON""";13;228,571428571429;"";"";NA;"";""
"127";127;127;127;127;45042055900038;"CHANTAL PIERRE";13;214,142857142857;"";"";NA;"";""
"128";128;128;128;128;45780137100016;"CLINIQUE RECH";13;221,428571428572;"";"";NA;"";""
"129";129;129;129;129;50349407200039;"JASMIN D’ORIENT";13;172,142857142857;"";"";NA;"";""
"130";130;130;130;130;79824511400011;"LE NOUVEAU MEDIA";13;72,7142857142857;"";"";NA;"";""
"131";131;131;131;131;NA;"MENORCA SPANISH SCHOOL";13;76;"";"";NA;"";""
"132";132;132;132;132;11009001600012;"DELEGATION AU PATRIMOINE DE L'ARMEE DE TERRE (DELPAT)";12;167,428571428571;"";"";NA;"";""
"133";133;133;133;133;13002143900018;"COMUE LANGUEDOC- ROUSSILLON UNIVERSITES";12;142,571428571429;"";"";NA;"";""
"134";134;134;134;134;17110431800182;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";12;24,5714285714286;"";"";NA;"";""
"135";135;135;135;135;21300189400012;"MAIRIE DE NIMES";12;130;"";"";NA;"";""
"136";136;136;136;136;21340172201670;"ECOLE MATERNELLE MARGUERITE YOUCENAR";12;17,2857142857143;"";"";NA;"";""
"137";137;137;137;137;21340172201696;"ECOLE MICHEL DE L'HOSPITAL";12;35;"";"";NA;"";""
