"";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"keywords"
"132";11009001600012;"DELEGATION AU PATRIMOINE DE L'ARMEE DE TERRE (DELPAT)";12;167,428571428571;"";""
"133";13002143900018;"COMUE LANGUEDOC- ROUSSILLON UNIVERSITES";12;142,571428571429;"";""
"134";17110431800182;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";12;24,5714285714286;"";""
"135";21300189400012;"MAIRIE DE NIMES";12;130;"";""
"136";21340172201670;"ECOLE MATERNELLE MARGUERITE YOUCENAR";12;17,2857142857143;"";""
"137";21340172201696;"ECOLE MICHEL DE L'HOSPITAL";12;35;"";""
"138";26340028500106;"CCAS DE MONTPELLIER";12;202,285714285714;"";""
"139";31303095900032;"CENTRE DE DOCUMENTATION TIERS MONDE MONTPELLIER";12;78,1428571428572;"";""
"140";38831314000013;"CLINIQUE DE LA BORDE";12;103;"";""
"141";41763696600026;"SAS EHPAD LES GLYCINES";12;82,5714285714285;"";""
"142";44335201800016;"GRAIN D'IMAGE, ESPACE LE MUR ROUGE";12;143,285714285714;"";""
"143";51258578700025;"ECOLE INTERNATIONALE ANTONIA";12;24;"";""
"144";53455508100015;"CHRU MONTPELLIER";12;143;"";""
"145";77605702800016;"ECOLE SAINTE ODILE";12;74,1428571428571;"";""
"146";79915748200016;"ALLIANCE FRANCAISE";12;175,571428571429;"";""
"147";17340431000026;"CENTRE D'INFORMATION ET D'ORIENTATION MONTPELLIER CENTRE";11;118,285714285714;"";""
"148";19340011600011;"LYCEE JEAN MOULIN";11;87,7142857142857;"";""
"149";21340090600060;"ECOLE ELEMENTAIRE EMILE BARRES";11;44;"";""
"150";21340113600030;"ECOLE ELEMENTAIRE HAROUN TAZIEFF";11;37,7142857142857;"";""
"151";21340172200912;"ECOLE ELEMENTAIRE MARIE CURIE";11;19,4285714285714;"";""
"152";21340172201134;"ECOLE MATERNELLE PUBLIQUE FRANCIS GARNIER";11;70;"";""
"153";26120014100016;"CENTRE HOSPITALIER";11;173,857142857143;"";""
"154";26340080600026;"EHPAD RESIDENCE AUBETERRE TEYRAN";11;191,428571428571;"";""
"155";33977442400057;"ITEP BOURNEVILLE";11;176,285714285714;"";""
"156";34401193700010;"STAND'ART/ VICTOIRE 2";11;86,7142857142858;"";""
"157";34774363500026;"LIGUE CONTRE LE CANCER";11;142,285714285714;"";""
"158";43276694700019;"POLYNESIE 1ERE FTV";11;107;"";""
"159";49303867300023;"RESIDENCE LA MARTEGALE";11;138,142857142857;"";""
